n,tmax,idx
1,0.02527211,0
2,0.01877524,2
3,0.02462211,13
4,0.02300517,21
5,0.02509452,61
6,0.02408389,128
7,0.02542319,170
8,0.02446529,227
9,0.02544963,363
10,0.02487548,553
11,0.02540433,664
12,0.02508819,940
13,0.02535995,1096
14,0.02517791,1279
15,0.02544295,1685
16,0.02521020,2182
17,0.02546549,2454
18,0.02524958,3066
19,0.02545858,3427
20,0.02531709,3807
21,0.02543717,4628
22,0.02534889,5574
23,0.02544723,6080
24,0.02535942,6609
25,0.02546553,7809
26,0.02535708,8434
27,0.02546795,9838
28,0.02538374,11378
29,0.02546048,12191
30,0.02540284,13961
31,0.02544878,14891
32,0.02541024,16908
33,0.02546399,17964
34,0.02540964,19053
35,0.02546929,21433
36,0.02541152,23953
37,0.02546766,25322
38,0.02542571,26690
39,0.02546116,29655
40,0.02543234,32815
41,0.02546246,34455
42,0.02543340,36136
43,0.02546866,39748
44,0.02543033,43577
45,0.02546978,45557
46,0.02543714,47581
47,0.02546707,51906
48,0.02544339,56418
49,0.02546148,58819
50,0.02544552,63719
