N,t,norm_x,iter,residuo
1,0.0340960025787354,0.0416666666666667,1,0.0000000000000000
8,0.0016789436340332,0.1047565601757848,1,0.0000000000000002
27,0.0010440349578857,0.1780865385572469,4,0.0000000000000000
64,0.0015590190887451,0.2599486181679210,4,0.0000000000000002
125,0.0015897750854492,0.3496047903152359,7,0.0000000000000001
216,0.0018270015716553,0.4465196723793611,10,0.0000000000000001
343,0.0032880306243896,0.5502489892453299,16,0.0000000000000001
512,0.0035638809204102,0.6604128492138054,18,0.0000000039239782
729,0.0032351016998291,0.7766826759917137,22,0.0000000038078929
1000,0.0032620429992676,0.8987717984453998,23,0.0000000086913523
1331,0.0056500434875488,1.0264280373291981,27,0.0000000059242389
1728,0.0059881210327148,1.1594277984317283,28,0.0000000098920250
2197,0.0061938762664795,1.2975713605771653,32,0.0000000090496885
2744,0.0085740089416504,1.4406791055288277,34,0.0000000067279567
3375,0.0083191394805908,1.5885884847439617,38,0.0000000043376090
4096,0.0105030536651611,1.7411515614041442,39,0.0000000061061510
4913,0.0110268592834473,1.8982330027084149,42,0.0000000087047756
5832,0.0136780738830566,2.0597084264692684,44,0.0000000073980936
6859,0.0143618583679199,2.2254630284315176,47,0.0000000093560183
8000,0.0189759731292725,2.3953904337224583,49,0.0000000076288385
9261,0.0211100578308105,2.5693917286709826,52,0.0000000089369362
10648,0.0318679809570312,2.7473746389254674,54,0.0000000083315261
12167,0.0366270542144775,2.9292528271504228,57,0.0000000090766816
13824,0.0410571098327637,3.1149452891855365,59,0.0000000081840439
15625,0.0449688434600830,3.3043758318530241,62,0.0000000087138338
17576,0.0506060123443604,3.4974726189235708,64,0.0000000084008306
19683,0.0577909946441650,3.6941677743412678,67,0.0000000088862455
21952,0.0627920627593994,3.8943970338385583,69,0.0000000085861036
24389,0.0711331367492676,4.0980994376767743,72,0.0000000086242974
27000,0.0803191661834717,4.3052170585250948,74,0.0000000084452881
32768,0.0953068733215332,4.7294799783152328,79,0.0000000084913621
262144,1.8138678073883057,13.0891973246771354,159,0.0000000086863972
2097152,29.7130749225616455,36.6063962040416939,319,0.0000000087950218
16777216,446.7504799365997314,102.9449450035432250,611,0.0000000097874700
